1	97	0.951777
2	82	0.543280
3	71	0.241136
4	95	0.180611
5	19	0.391571
6	6	0.913211
7	93	0.762707
8	23	0.300385
9	98	0.162225
10	71	0.025567
11	10	0.870708
12	22	0.550000
13	75	0.656794
14	79	0.843276
15	76	0.347106
16	24	0.313629
17	56	0.455219
18	84	0.472517
19	80	0.981622
20	87	0.973911
21	21	0.136466
22	24	0.426876
23	34	0.714026
24	35	0.589377
25	95	0.956607
26	65	0.801099
27	19	0.380086
28	36	0.285023
29	26	0.402560
30	10	0.332464
31	8	0.333059
32	88	0.355460
33	47	0.790349
34	7	0.922668
35	46	0.716963
36	12	0.933833
37	63	0.913371
38	32	0.671400
39	87	0.400760
40	96	0.839003
41	13	0.311219
42	65	0.177284
43	1	0.801456
44	27	0.720563
45	63	0.041953
46	11	0.376431
47	24	0.238721
48	59	0.318911
49	1	0.605559
50	75	0.807526
51	3	0.454533
52	12	0.558044
53	39	0.994272
54	62	0.387635
55	2	0.268761
56	51	0.842258
57	78	0.971073
58	96	0.675022
59	92	0.404173
60	59	0.391528
61	17	0.678344
62	45	0.420342
63	4	0.507869
64	21	0.256832
65	78	0.193279
66	87	0.787027
67	81	0.572277
68	84	0.782974
69	27	0.594303
70	61	0.830351
71	31	0.833908
72	5	0.122719
73	7	0.401770
74	62	0.060113
75	47	0.801814
76	2	0.724197
77	78	0.542362
78	78	0.562584
79	99	0.041975
80	84	0.636125
81	45	0.332521
82	12	0.072133
83	29	0.341433
84	34	0.444227
85	5	0.609609
86	24	0.338881
87	82	0.659337
88	4	0.397354
89	4	0.162083
90	47	0.310796
91	7	0.961918
92	66	0.789916
93	75	0.716333
94	19	0.077647
95	36	0.332875
96	29	0.150737
97	97	0.934109
98	31	0.586283
99	66	0.143379
100	98	0.654091
